,question,answer
5455,دوراندیشی,امعان
5457,عنصر شماره 56 اتمی,باریم
5458,قایق روسی,لتکا
5460,مقابل زوج,فرد
5462,لایه شفافی در چشم,قرنیه
5464,حکمت ارسطویی,مشا
5466,گرفتاران و دربندان,اسرا
5467,اجبار و الزام,وادار
5468,رشته کوه آسیایی,اورال
5470,مغازه شیرینی فروشی,قنادی
5471,راستگو,صادق
5472,همه گیری,اپیدمی
5473,شاخه تازه روییده,رستاک
5475,مترادف فراوان,فت
5476,آذرخش مصنوعی عکاس,فلاش
5478,خوراک برگ پیچ شده,دلمه
5479,توهین آمیز,موهن
5480,ریزه آتش,جرقه
5481,اثر چربی,لکه
5485,مجازا تکه کوچک غذا,لقمه
5486,دستار بزرگ و نازک,شاره
5487,بدیهی و واضح,هویدا
5490,محرمانه,سری
5491,پاکدامن,عفیف
5492,پاک و منزه,مقدس
5493,مخلوطی از شن و ماسه و آهک در بنایی,ملات
5494,از درختان جنگلی بلند,راش
5495,میوه کرک دار,کیوی
5497,بحران و درگیری,تنش
5498,عبادتگاه ترسایان,کلیسا
5499,از الیاف مصنوعی,نایلون
5500,گریزان,هارب
5501,مقتصد,صرفه‌جو
5502,گل های خوشبو,ضیمران
5503,از افعال ربطی,است
5505,پایدار ماندن,بقا
5506,دختر لک,دت
5507,از آحاد زمان,دقیقه
5508,آوازی در دستگاه شور,دشتی
5510,تاسیس کننده,موسس
5512,سبزی پیچیده,کلم
5513,نوعی حساسیت پوستی,کهیر
5514,بخش متحرک میز,کشو
5517,جستن و جهیدن,پرش
5518,پر تلاش,کوشا
5519,کابوی خوش شانس,لوک
5520,پول آسیایی,ین
5521,به زیبایی ماه,مهسا
5523,منافق و ریاکار,دورو
5524,کاغذ محکم و مقاوم در برابر پارگی,کرافت
5527,گوارا و خوشایند,هنی
5528,کم کردن,کسر
5529,از ایام هفته,یکشنبه
5530,از هفت قلم آرایش قدیم,سفیداب
5531,خردمندانه,عاقلانه
5532,از جزاير اندونزي,مولوکاو
5534,رایگان,زب
5535,مزاح و شوخی,هزل
5536,از ابزار جنگی قدیمی,سپر
5538,سود و قسمت,بهره
5539,دایی شیرازی,خالو
5542,فربه,شکم‌گنده
5544,درخشان,ازهر
5546,برگزیده قوم,خاصه
5551,لاشخور,کرکس
5552,خوشبخت و سعادتمند,دولتمند
5553,فیلمی از رابرت ‌بنتون,ننگ بشری
5554,فروش کالا به صورت کلی,عمده فروشی
5555,کج شدن,خمیدن
5556,شهرت,آوازه
5558,اندک,قلیل
5561,رنج و زحمت,لگ
5562,هم زغن و هم سراب,لوه
5563,کرکره,بادگانه
5564,دوستان خاموش!,کتب
5566,آسان و ساده,سهل
5567,پیش,نزد
5568,قبل از ورزش انجام می‌دهند,نرمش
5569,حساس و زودرنج,نازپرورده
5570,پویشگر رایانه,اسکنر
5572,کارگردان شب‌واقعه,شهرام اسدی
5573,رودی در استان کرمان,هلیل‌رود
5574,الفت گرفتن,استیناس
5579,از آثار دیدنی تهران,موزه فرش
5581,نام دیگر سفید رود,قزل‌اوزن
5583,آلتی فلزی که به گردن چهارپایان آویزان کنند,زنگ
5586,زمین سبز و خرم,سبزه‌زار
5588,شهری در هلند,هارلم
5589,از رودهای ایران,قره‌سو
5590,کشوری آفریقایی,لسوتو
5593,بسیار شوخی کننده,هزال
5596,بانگ جانور درنده,هرا
5599,وسیله‌ای که مدارهای الکتریکی را در برابر جریان غیر مجاز محافظت می‌کند,فیوز
5601,از نرم افزارهاي ارتباطي بود,وایبر
5602,شهر و استانی در کشورمان,زنجان
5603,نوعی پوشاک زمستانی,دستکش
5604,نوشتن,نگارش
5605,نوعي کاغذ خوشنويسي,ابر و باد
5607,سیاهرگ,ورید
5609,منحوس,شوم
5612,روال و روش,سیاق
5613,غذایی از تخم‌مرغ,املت
5616,لقب شهر مکّه,ام القری
5618,پوشه,فایل
5619,سخن‌چین,لماز
5620,سست و ضعیف,فاتر
5622,تماماً,کلا
5623,پوششی برای محافظت از پا,کفش
5625,از وسایل تهیه چای,قوری
5628,بانی طاق کسری,انوشیروان
5630,ثمر دهنده,بارور
5632,پوسیده,رمیم
5633,به‌جز,الا
5637,مرگ موش,سم الفار
5638,کمی و اندکی,قلت
5641,کمترین واحدپول,قاز
5643,حکومت شاهنشاهی,امپراتوری
5644,روشن کننده,افروز
5645,لندهور,دیلاق
5646,بازیگر فیلم نوک برج,لیلی رشیدی
5647,قوای حافظ نظم و آرامش مملکت,انتظامی
5648,نصف,نیم
5649,بدگویی شعری,هجو
5654,دختر پادشاه,پرنسس
5655,زن بهشتی,حورا
5657,ریشه سوسن کبود,ایرسا
5660,جزیره‌ای در جنوب کشورمان,لاوان
5661,پدر از دست‌داده,یتیم
5666,منع کردن,نهی
5667,استانی با مرکز سنندج,کردستان
5668,سوره 94 قرآن‌کریم,انشراح
5669,درمانگاه,کلینیک
5670,گاز مهتابی,نیون
5671,دارای اصل و نسب,والاتبار
5672,سوغات گجرات,تمر
5673,موجود زیبای افسانه‌ای,پری
5675,چوب‌ خوشبو,ند
5676,ورقه‌ای که در آن اعترافات شخصی را نویسند و به امضای او رسانند,اقرارنامه
5680,وسیله ترمز,لنت
5681,از کشورهای اروپایی,مجارستان
5682,تفریق,منها
5684,سرکشان و متمردان,ماردین
5687,حرص شدید,ولع
5688,مثل و شبیه بودن,همانندی
5689,اعضای هیئت‌دولت,وزرا
5691,نوعی حریر,سندس
5694,پیشوند ده‌تایی,دکا
5695,همسر,شوی
5701,هر سی روز یکبار,ماهیانه
5703,قسمت و نصیب,بهر
5704,مسافر,راهپیما
5705,عاشق,وله
5706,لباس خانه,ربدوشامبر
5707,پایتخت ساحل عاج,یاموسوکرو
5711,زن دیرنشین,راهبه
5713,بنام و مشهور,نامی
5716,قسمتی از هتل,لابی
5717,فرزند,ولد
5718,فیلمی از رومن پولانسکی,دروازه نهم
5719,کارگردان فیلم کلانشینکف,سعید سهیلی
5721,پارک جنگلی در نوشهر,سیسنگان
5722,نوعى خالکوبى ابرو,تتو
5723,بازداشتن,منع
5724,سریالی از احمدکاوری,وارش
5727,ویران کننده,مخرب
5728,پوچ و میان‌تهی,کاواک
5729,لاغر و نحیف,نزار
5731,پولاد,روهنی
5733,از وسایل گرمازا,هیتر
5734,پشه حامل مالاریا,انوفل
5741,طبقه بندی جانوران,رده‌بندی
5742,گورستان,ستودان
5743,از برندهاي آلماني,هانوور
5745,از رودهای ایران,زرینه‌رود
5750,از فیلمهای هیچکاک,شماره هفده
5752,عادت,خو
5753,رود مصر,نیل
5755,زغال سنگ مرغوب,آنتراسیت
5757,یار استکان,نعلبکی
5758,از کشورهای اروپایی,رومانی
5759,کسی که بسیاری از راه‌های مکرر حیله را بداند,بسیار فن
5760,به رسم یادبود می‌دهند,یادگاری
5761,ابزار لحیم کارى,هویه
5763,پایتخت اتریش,وین
5765,واحد دارو,دز
5766,بخشی از قطار,واگن
5767,قوم کهن تاریخ‌ایران,پارس
5768,فرستاده,گسیل
5769,گیره سر بانوان,تل
5770,مقر پاپ,واتیکان
5772,مقابلِ کوتاه,بلند
5775,مخفف آتش,تش
5777,استخوان پاشنه پا,کعب
5779,روز بعد از امروز,فردا
5781,کاتب,نویسنده
5782,حرف یاوه می‌زند,بیهوده گوی
5783,سرگشته,حیران
5784,خوش خلق,ساویز
5785,مرکز ایالت کالیفرنیا در آمریکا,ساکرامنتو
5786,دو دست,یدین
5787,ظرف نفت,پیت
5788,بمب کاشتنی,مین
5791,ورزش توپ و تور,والیبال
5792,اسب عرب,فرس
5794,حفره‌ای در کوه,غار
5796,عنصر غیرفلزی جامد,کربن
5797,انجمنی رسمی در هر کشور که از سرآمدان علوم و فنون برای بحث و تحقیق در مسائل علمی و ادبی تشکیل می‌شود.,فرهنگستان
5798,شماره کردن,تعداد
5799,ماه هفتم سریانی,نیسان
5800,تابلویی از رونالد کیتاج,لندن شبانه
5802,فیلم رابرت آلتمن,تصویرها
5804,جمله قرآنی,آیه
5805,نوعي پرنده آبي,سیقا
5807,ویتامین گوجه‌فرنگی,کا
5808,فریاد و صدای بلند,بانگ
5809,انبار ماشین آلات سنگین,دپو
5813,مرغي خوش آواز,شارک
5814,گیاه تاجریزی,لما
5815,ننر,لوس
5816,خارپشت دریایی,توتیایی
5818,چنگ زننده,متمسک
5819,نوعی دانشگاه,دولتی
5820,جمع وصیت,وصایا
5821,رودی در اردن,یرموک
5822,بلم و قايق,زورق
5823,خرس آسمانی,دب
5824,الهه فريب و تباهي,آته
5826,از ابزار باغبانی,آبپاش
5828,جانب,فرا
5831,خلاصی و نجات,رهیدن
5833,از رگ ‌های اصلی ‌بدن,شاهرگ
5834,کیمیا,اکسیر
5835,نام عده‌ای از شاهزادگان تیموری,بایسنقر
5837,سوره 34 قرآن‌کریم,سبا
5838,کبودی اندک در پوست بدن,نیلک
5842,گوش,مسمعه
5845,مردان بی‌زن,ارامل
5847,راه عبور مسطح با شیب تند,رامپ
5848,دیندار,متدین
5849,کلیسای تاریخی در اصفهان,وانک
5852,نام‌ها,اسما
5854,شهری در افغانستان,بلخ
5855,اثری از صادق چوبک,سنگ صبور
5856,سروقت,بهنگام
5857,یکی از دو سازنده شهر رم در افسانه ها,رمولوس
5858,رسم و سنت,آیین
5859,سازگار شدن، هماهنگی یافتن,راست آمدن
5864,کشوری آمریکایی,کاستاریکا
5869,لقب ناصرالدین‌شاه,قبله عالم
5871,شبکه حمل و نقل ریلی,راه‌آهن
5872,فیلمی از علی مصفا,پله آخر
5873,مفت و مسلم,هیچ و پوچ
5876,رنج و سختی,بلا
5877,مخلوط آب و خاک,گل
5879,ماه سوم از سال میلادی,مارس
5880,جامعه ها,جوامع
5884,آهو,غزال
5886,گوجه پخته‌شده,رب
5888,دستی,یدی
5889,بز نر,شاک
5890,سریالی از مهران مدیری,قهوه تلخ
5892,منجی شناگر,نجات غریق
5894,برگزیده از هر چیز,زبده
5895,بيابان بي آب و علف,چول
5901,بالاتر,اعلی
5902,سیر و سیاحت,گشت
5903,پوستین دوز,وتگر
5904,منطقه ای نزدیک کاشان,اردهال
5905,کتابی به قلم ناهید طباطبایی,چهل سالگی
5907,از بازیگران سریال معمای شاه,سعید داخ
5908,سخن درگوشى,نجوا
5909,شوهر روستایی,شو
5910,پسوند حاصل‌مصدر,گی
5911,بی‌حرکت,ساکن
5912,فلات آسیایی,تبت
5913,طعام و خوراک,غذا
5915,فراهم آوردن,احراز
5916,مثل و مانند,شبیه
5917,حرف13 انگلیسی,ام
5918,سردار بزرگ ایرانی,افشین
5920,قطعه‌ای در چرخ‌خیاطی,ماکو
5921,نمایشگاه نقاشی,گالری
5928,قلعه و حصار,بارو
5931,سلسله‌ای در تاریخ ایران,غزنویان
5932,شگفت آور,عجیب
5933,پوشش شیشه‌ای یا پلاستیکی که روی چراغ می‌گذارند,حباب
5936,از جزایر اسپانیا,تنریف
5937,جذاب,گیرا
5938,وسیله درو,داس
5939,تقویم,گاه‌شمار
5940,زشت بودن,قبح
5941,شروع,آغاز
5944,از شهرهای استان یزد,اشکذر
5947,بی رحم و سنگ دل,خون‌آشام
5949,از مراحل عرفان هندي,نیروانا
5950,وضو,دست‌نماز
5951,حرف آخر الفبا,یا
5952,قصد کننده,جازم
5953,ریزبینی و موشکافی,دقت
5957,فرمانروایی,حکمرانی
5959,تراوش,نشت
5960,نوعی غذا,مسما
5962,مولف الفهرست,ابن ندیم
5963,شش ماهه,نیم‌ساله
5965,نومیدی,حرمان
5966,کارمندان دربار,یساقی
5967,تجارت و داد و ستد,کاسبی
5969,سخن گفتن,تکلم
5970,زدنی خودستا,منم
5977,آخرین ملکه مصر,نازلی
5978,مرکز ایالت تنسی,نشویل
5981,از آبزیان دریایی با نام دیگر عنبرماهی,کاشالوت
5982,کابوی خوش‌شانس,لوک
5986,کشورها,ممالک
5987,کروکودیل,تمساح
5989,پنجره مشبک رو به حیاط,ارسی
5995,نوعی ‌پرتقال,خونی
5998,از فصل‌های سال,پائیز
6001,نوکر و خادم,هانی
6002,جام ورزشی,کاپ
6003,مخالف نزدیک,دور
6004,بیماری درد مفاصل,رماتیسم
6005,هم سخن و هم‌زبان,کلیم
6006,کارگردان فیلم بیرون کوره,اسکاتپارکر
6007,زادگاه انیشتین,اولم
6009,سوریه قدیم,شام
6010,نوعی شیرینی,شکلات
6012,حرف 28 فارسی,میم
6014,ضرب شمشیر,یلمان
6015,کج و مایل,خمیده
6021,سود پول بازاري,اسکونت
6023,شهری در استان خراسان رضوی,تربت حیدریه
6024,دلیر,نیرم
6025,تابلویی از فرانسیسکو گویا,کشتن گاو
6026,پیچ و تاب,شکن
6028,کشف رازی,الکل
6030,کنسول نسل هفتم,وی
6031,بزرگ,سترگ
6033,سیاره آبی و خاکی,زمین
6035,دریای کوچکی کنار خلیج بوتنی سوئد,الاند
6037,پست فطرت,لییم
6038,ندای افسوس,دریغا
6042,محل فرود هواپیما,باند
6043,پشیمانی,ندم
6045,ورزش کننده,ورزشکار
6046,دهقان و زارع,کشاورز
6047,خانم خانه‌دار,کدبانو
6048,نوعی ماکارونی,شکلی
6049,نامادری,مادراندر
6053,ترش و شیرین,مز
6054,لقب خواجه حافظ شیرازی,لسان الغیب
6059,از بازیگران فیلم معراجی‌ها,اکبر عبدی
6061,جانور قوی شخم زنی,ورزگاو
6062,نام قدیم بابلسر,مشهدسر
6066,کوسه جنوبی,بمبک
6067,از ضمایر انگلیسی,شی
6069,بی چیز,ناداشت
6071,وصف نوعی سرو,سهی
6072,کمیسر,کلانتر
6073,بافتن,تنیدن
6075,معصیت,گناه
6082,پسربچه,صبی
6083,شهری در استان‌فارس,بوانات
6085,یاقوت,یاکند
6088,حقیقی و واقعی,راستین
6090,بلدیه‌ امروزی,شهرداری
6091,کشوری آمریکایی,هاییتی
6092,مخفی,نهان
6093,از بازیگران مرد فیلم ویلایی ‌ها,صابر ابر
6094,شبه جزیره ای در ترکیه,آناتولی
6095,یک دهم,دسی
6096,در دست نقاش ‌است,رنگ
6097,مرکز برنامه ‌ریزی,ستاد
6098,راستی و درستی و پاکی,آرتا
6101,دلتنگ,ملول
6102,پادزهر، نوشدارو,زامهران
6103,آه سوزناک,انین
6104,آخرین حرف انگلیسی,زد
6106,از خوش ‌نویسان بنام دوره ناصری که شیوه جدیدی در نستعلیق‌ نویسی پدید آورد.,کلهر
6109,بیان و کلام,سخن
6110,سرپیچی کردن,استنکاف
6113,آلت و وسیله,افزار
6114,از حبوبات,ماش
6116,معادل فارسی پسیکولوژی,روانشناسی
6119,نوعی میمون,انتر
6121,بازیگر آمریکایی فیلم دورافتاده,تام هنکس
6123,قلعه و حصار,اورا
6125,به مدت ۲۷ سال مقام قهرمانی شطرنج جهان را مقتدرانه در اختیار داشت,لاسکر
6126,مشهور و سرشناس,بلند آوازه
6129,ویلان، سرگردان,سلندر
6130,کاغذی که به روی آن چیز می نویسند,نفج
6131,پایان و سرانجام,خاتمه
6132,بخت و طالع,اقبال
6133,بازتاب و پژواک,انعکاس
6134,از سازهای بادی,سرنا
6136,هادی و هدایتگر,رهنما
6137,زاویه 90 درجه,قائمه
6138,برس اسب,قشو
6139,لای جامه,تا
6141,تاکسی جادار,ون
6142,جنگاور و مبارز,رزمنده
6143,پسین,آخر
6144,مدفن ناصر خسرو,یمگان
6145,خوی ها و رفتارها,سجایا
6146,پاسخ مثبت,آری
6147,کنایه از آدم لجوج,یک دنده
6148,زنده,حی
6149,سنگ سبز قیمتی,یشم
6150,نفس خسته,هن
6151,پاکی و درستی,آشا
6152,غیر خالص,ناسره
6153,ساکن کره خاکی,زمینی
6156,صمیمی و متحد,یکتادل
6157,دارای مرز مشترک,هم مرز
6158,نمایش روی پرده عریض,اسکوپ
6159,رنگی بین سیاه و سفید,خاکستری
6160,آبستن,حامله
6161,در یک لحظه,آنا
6162,آزمون و امتحان,آزمایش
6164,به دقت اندیشیدن,تعمق
6165,حرف شرط,مگر
6166,شرم و حیا,آزرم
6168,معارفه,آشنایی
6171,خم قیراندود,دن
6172,نوعی ساعت قدیمی,شنی
6173,جیره مقرر,سهمیه
6174,برد معروف,یمانی
6175,جوی آب,نهر
6176,تکان و جنبش,سک
6177,اردک سرسبز,سیکا
6178,سوگند,قسم
6179,پادشاه,تاجدار
6180,فیلمی از رومن پولانسکی,تس
6181,درخشنده و تابان,براق
6182,عنوان رجال و بزرگان,خان
6183,پرده در و بددهن,هتاک
6185,نوعی ماهی,شوریده
6186,آغاز و ابتدا,بدو
6188,داد و فریاد توخالی,اهن و تلپ
6189,شیعه دوازده امامی,اثنا عشریه
6190,نماز مستحبی,نافله
6191,بیگانگان,اجانب
6192,یکی از دو تکه احرام مردان,ردا
6193,پروردگار من,ربی
6194,سوره هفتادم قرآن,معارج
6195,کنیه حضرت فاطمه(س),ام الائمه
6196,سقف برجسته و مدور,قبه
6198,سست,لس
6199,سائل,گدا
6200,از حروف مقطعه قرآن,الر
6201,دریدن پرده,هتک
6203,حکم اسیران جنگی در این سوره آمده است,نسا
6204,کچل,گر
6205,تخت و اورنگ,سریر
6206,درخشان,باهر
6208,زردپی,وتر
6209,بخشی از مسجد,شبستان
6210,مادر حضرت ابراهیم,اوفا
6211,کم وزن,سبک
6212,لقب امام دهم شیعیان,نقی
6213,سم کشنده,زهر
6214,تالار پذیرایی,سالن
6215,مجانی,رایگان
6216,درخواست حاجت از خدا,دعا
6217,یگانه,تک
6218,آخرین نبرد پیامبر اسلام(ص),تبوک
6220,نقش هنری,رل
6221,نخستین حرف الفبای فارسی,الف
6222,گریز غریزی,رم
6223,بت,صنم
6224,مهربانی خدا نسبت به بندگان,راف
6225,اساسی ترین جزء هر عبادت,رکن
6226,قامت,قد
6227,اندوه,هم
6228,عشوه,ناز
6229,نفس شیطانی,نفس اماره
6230,کتاب زرتشتیان,اوستا
6231,سوره پنجاه و دوم قرآن,طور
6232,دور از گناه,بری
6233,از پیامبران بنی اسرائیل,ارمیا
6234,راهب مسیحی که خبر از رسالت پیامبر (ص) داد,بحیرا
6235,مقدس ترین مسجد پس از مسجدالحرام,مسجدالنبی
6236,نادان و بی خرد,احمق
6237,قبرستان,گورستان
6238,علم پزشکی,طب
6239,مجموع چند جمله,عبارت
6240,سلطان و پادشاه,آکل
6241,از پیامبران اولوالعزم,نوح
6242,نالایق,نااهل
6243,جمع رسول,رسل
6244,موی مجعد,فرفری
6246,خاک صنعتی,رس
6247,از توابع سیستان و بلوچستان,بنت
6249,درمانده,عاجز
6251,از یاران عیسی که از عروج وی مطلع بود,برنابا
6253,زبانه آتش,لهیب
6254,از سوره های مکی,روم
6255,دفعه,مر
6256,سود نامشروع پول,ربا
6257,بیم آور,ترسناک
6258,برخاسته,قایم
6259,پادشاه,ملک
6260,خداترس,تقی
6261,سینه انسان,صدر
6262,خوف,هراس
6263,ضباط,بایگان
6264,سرگشته,هاج
6265,قلب,دل
6268,اثر و نشان,رد
6269,بی اطلاع,ناآگاه
6272,از هالوژن ها,ید
6273,طریق,راه
6274,مرطوب,تر
6275,چاهی در جهنم,ویل
6276,دستور,فرمان
6278,سوره هفتاد و ششم قرآن,انسان
6279,حاشیه کناره,لبه
6280,شمشیر,سیف
6281,صحرایی وسیع در نزدیکی مکه,عرفات
6283,پرو لبریز,مالامال
6284,ناله,زاری
6285,یکی از انواع ماهی‌های شمال ایران است,ماهی سفید
6286,دانه های نباتات,حبوب
6288,مویی بر سر ندارد,تاس
6289,جمع ماده,مواد
6291,ناممکن,نشدنی
6293,ناسازگاری,مخالفت
6294,وقار و سنگینی,متانت
6296,یک غذای ملی در آشپزی سنتی کامبوج,آموک
6297,مته,سنب
6298,آفات زمانه,خنا
6300,سینه پهلو,ذات الریه
6301,احتمال دارد,محتمل
6302,منبع و سرچشمه,ماخذ
6303,صفرابر سنتی,آب آلو
6304,خواهش و التماس,تمنا
6306,آسمان‌ها,سماوات
6308,بیماری در انسان و حیوانات,ناخنک
6309,موشک کروز ایرانی,مشکات
6311,صاحب مقام و زمین و رعیت,فیودال
6314,نوعی رشته,فرنگی
6315,سرقت,دزدی
6316,مقابل تشویق,تنبیه
6317,رشته باریک فلزی,مفتول
6318,کشور و قلمرو,مملکت
6319,شیوا و فصیح,سلیس
6320,پیکان جهت نما,فلش
6323,خواهان و خواستار,طالب
6324,بلندترین نقطه,اوج
6325,طالع و اقبال,بخت
6326,از پوشش بانوان,روسری
6327,درختی که بار ندهد,نرک
6328,سائل و متکدی,گدا
6330,زبردست و زرنگ,زبل
6332,جامه دوز,خیاط
6336,خو گرفتن,عادت
6337,سقف آویز خانگی,لوستر
6339,علت و باعث,مسبب
6340,خواربار فروش,بقال
6341,وسیله سنگ اندازی,فلاخن
6344,خانه های ریز عکس,ترام
6345,میان و مرکز,وسط
6347,همبازی پت,مت
6349,روانگردان,مخدر
6350,ماده موثر خمیردندان,فلوراید
6351,جامه پوشیدنی,ملبس
6353,نوعی رنگ مو,مش
6354,مجرای خون در بدن,رگ
6355,مزه و چاشنی,طعم
6356,بیماری قرن,ایدز
6357,ضمیر اشاره,آن
6358,تنبل جالیزی,کدو
6361,نوعی ترشی,لیته
6363,مذاکره کردن,گفتگو
6364,مزدور,اجیر
6365,سنجاب کارتونی,بنر
6366,صدمه و آسیب نشده,آک
6368,مرهم و پماد,ضماد
6369,شهر شمالی,آمل
6371,سرکش و نافرمان,متمرد
6372,بخشنده و جوانمرد,راد
6373,کشیدنی بیمار,درد
6375,پرنده ای کوچک و سیاه رنگ,سار
6376,قدر و مرتبه,ارج
6377,مقابل ویران,آباد
6380,نماد چسبندگی,کنه
6381,زیبا چهره,مهرو
6382,آرام و بی دغدغه,ریلکس
6383,بازدید و تفتیش,وارسی
6384,خطا کار,خاطی
6385,توانمند و نیرومند,قادر
6386,به زور به کاری واداشتن,اجبار
6388,حرف صلیب,تی
6389,سایز بزرگ,لارج
6391,رفتن به شتاب,دو
6392,نوعی زغال سنگ,کک
6393,تکرار حرف,مم
6394,نوبت نمایش,سانس
6395,کار آزموده,باتجربه
6398,فروغ ایزدی,فر
6399,جای پا,رد
6400,درجه حرارت,دما
6402,همه را شامل شود,هر
6403,فاصله میان دو پا,گام
6404,فریادرس و قاضی,دادرس
6405,نمایندگان قانونی,وکلا
6407,کیمیاگر امروزی,شیمیدان
6408,اثری از سیمون دوبوار,کهنسالی
6409,دوستان,اودا
6412,گرو گذارنده,راهن
6413,شهری در سیستان و بلوچستان,خاش
6414,نوعی نژاد سگ,پاگ
6415,بیشتر,اغلب
6418,از فیلم‌های جمشید حیدری,وکیل اول
6420,عفو,بخشش
6424,ابزار جنگ,سلاح
6428,شرکت خودروسازی و صنایع سنگین سوئدی,اسکانیا
6429,اجرام سماوی,ستارگان
6430,فیلمی از کیومرث پوراحمد,شکار خاموش
6433,فیلمی از رنه کلر,سکوت طلاست
6434,پسوند دارندگی,مند
6435,کتلت,شامی
6436,کوهی در مکه,منا
6439,اکثر اوقات,غالبا
6442,این برند سرشناس جهان در رده سوم لیست بهترین برندهای دنیا قرار دارد,اپل
6443,عبوس,اخمو
6445,نام این بیماری اوتیت است,التهاب گوش
6446,از پیامبران,ارمیا
6447,مکر و حیله,نیرنگ
6448,از آثار تاریخی استان اصفهان,پل شهرستان
6449,پایتخت اوگاندا,کامپالا
6450,ترابری,حمل و نقل
6453,گونه صورت,لپ
6454,کاری را بر عهده گرفتن,تعهد
6457,نسیه نیست,نقد
6463,پرداختن وام,ادای دین
6465,چشم پزشک,کحال
6466,آشکار و ظاهر,نمایان
6468,کنایه از کلام صریح و بی پرده,پوست کنده
6469,جمع ملت,ملل
6470,نزدیکتر,اقرب
6472,شهری در پرتغال,پورتو
6473,پسر کیقباد از پادشاهان پیشدادی,آرمین
6475,معمولا سواد نمی‌آورد,عینک
6477,کم کم، اندک اندک,لقمه لقمه
6479,راستایاب,الیداد
6481,از سازهاي بادي,نیانبان
6482,آدم‌کش سیاسی,تروریست
6484,پیمودن,طی
6486,وجه مشترک رادیو و دریا!,موج
6488,لاک پشت,باخه
6492,یکی از دو برادر افسانه ای بنیانگذار شهر رم,رومولوس
6494,شهر فرانسه,انسی
6495,شخصیت و ذات,هویت
6498,بوی نامطبوع,گند
6499,نهمین برج فلکی,قوس
6501,واحد پول آذربایجان,منات
6502,رودي در شمال چين,سونگاری
6503,از دوران زمین‌شناسی,تریاسیک
6504,استنتاج,نتیجه گیری
6505,هشتمین ماه سال میلادی,آگوست
6506,نام محلي پايتخت ارمنستان,یروان
6507,فیلم  برزو نیک‌نژاد,لونه زنبور
6508,شهری در فرانسه,اوسر
6511,ساز مولانا,نی
6514,يک ميليون برابر متريک,مگا
6516,شیرحیوان تازه زا,ماک
6518,بدشکل و بدقواره,قناس
6519,از گیاهان دارویی,اسطوخودوس
6520,حقارت و ذلت,خواری
6522,جوهر سرکه,اسید استیک
6523,زورق,قایق
6525,گشایش طلبیدن,استفتاح
6529,مقابل رفت,آمد
6530,طرز عمل,رفتار
6531,از شهرهای استان‌زنجان,قیدار
6532,خاکروبه,اخال
6536,قیمت ‌بازاری,فی
6537,چاق و فربه,لمتر
6538,بندری در هندوستان,بمبئی
6539,بیان کردن,ابراز
6544,محل کار خباز,نانوایی
6547,مولف جلایر نامه,قائم مقام فراهانی
6548,ساده تر,اسهل
6550,گازی بی رنگ,بوتان
6552,از ماه‌های فصل بهار,خرداد
6553,پایتخت آلمان,برلین
6554,با کلید باز می شود,قفل
6555,واحد فروش گردو,فال
6557,بدون آن زندگی میسر نیست,هوا
6558,هنر نمایشی,تئاتر
6559,خیار درشت,کمبزه
6561,همیشه و پیوسته,دایما
6562,آوازی در دستگاه‌شور,دشتی
6563,شهری در استان اردبیل,نمین
6564,از بازیگران سریال اخراجی‌ها,محمدرضا شریفی‌نیا
6565,محصل و کارآموز,شاگرد
6566,ناراحت و بی تاب و عصبی,کلافه
6567,بیماری ناهماهنگی حرکت عضلات,آتاکسی
6568,راهروی خانه های قدیمی,هشتی
6569,نصف و یک دوم,نیم
6570,جعبه حمل جنازه,تابوت
6571,به تازگی,اخیرا
6574,جای آسوده,امن
6576,کوتاه شدن پارچه,آب رفتن
6577,واحد سرعت هواپیما,ماخ
6578,یاقوت سرخ,رمانی
6579,تصدیق بی ادبانه,اوهوم
6580,در مقابل,ازا
6581,تردد,آمد و شد
6583,نوعی آب نبات,کشی
6585,از مشتقات نفتی,قیر
6586,اجرای موسیقی,کنسرت
6587,شهرت طلب,نامجو
6588,فکر و اندیشه,رای
6591,مقدمه چینی,تمهید
6592,نگارش و کتابت,نوشتن
6593,برخوردار از بخت و اقبال زیاد,شانس‌دار
6594,سکنی گزیدن,اقامت
6596,شستشوی سرسری,آب مالی
6598,از پرتوهای اتمی,گاما
6599,امر پنهان,راز
6600,از وسایل آشپزخانه,رنده
6601,شخن بی پرده و بی تعارف,رک
6602,ترسناک و مهیب,خوفناک
6604,نوعی وجه,دستی
6605,زمین شوی دسته دار,تی
6607,دوستان و رفقا,یاران
6608,در این مکان,اینجا
6609,سقف خانه,بام
6611,از وسایل خیاطی,سوزن
6612,وقت گذرانی,لهو
6613,آشکار و نمایان,نمودار
6614,تارهای باریک روی سر,مو
6615,صلح,آشتی
6616,گریز پای زیبا چشم,آهو
6617,از وسایل دانش آموز,تراش
6619,کسالت,ناخوشی
6620,نشانه و معجزه,آیت
6621,به شوق آمدن,هیجان
6622,نوعی روش تمرکز حواس,مدیتیشن
6623,جزیره‌ای در شرق اسپانیا,مایورکا
6625,دختر لاتین,گرل
6626,نیلگون,ازرق
6629,بزرگوار و گرامی,ماجد
6630,جانوری از خانواده سخت پوستان,خرچنگ
6631,خوب خوش,مرود
6633,آبرسان عهد قدیم,میراب
6635,مطیع,عبید
6636,انتقاد کننده,منتقد
6640,پایتخت آذربایجان,باکو
