,text
1724,عکسخانه، اولین موزه تخصصی تاریخ عکاسی در خاورمیانه که در تهران واقع است.
1725,نری مقابل مادگی است.
1726,میوه نرسیده، کال است.
1727,دادا خدمتکار پیر است.
1728,مد بالا آمدن آب دریا است.
1729,سرها معادل رئوس است.
1730,مفاسد معادل تباهی‌ها است.
1731,بستن مقابل بازکردن است.
1732,بادپا کنایه از تندرو است.
1733,عز معادل ارجمندی است.
1734,درهم معادل مخلوط و نامنظم است.
1735,نوسان معادل جنبیدن و تکان‌خوردن است.
1736,کاهن غیب گو است.
1737,جا معادل مکان است.
1738,بر معادل خشکی است.
1739,هرهر صدای خنده است.
1740,وان دریاچه‌ای در ترکیه است.
1741,کاف حرف ۲۵ الفبای فارسی است.
1742,تنابنده از بازیگران پایتخت۶ است.
1743,عندلیب معادل بلبل است.
1744,عنکبوت از جانوران بی‌مهره است.
1745,کرات معادل حمله‌ها و دفعات است.
1746,سبزواران نام قدیم جیرفت است.
1747,سه عدد فرد یک رقمی است.
1748,اسفند دانه از گیاهان دارویی است.
1749,پرن ستاره پروین است.
1750,رکن معادل پایه و اساس است.
1751,نامه سیاه کنایه از گناهکار است.
1752,جهاد جنگ در راه خدا است.
1753,هل دادن کسی را به جلو راندن است.
1754,معارفه معادل آشنایی است.
1755,چشم سفید به آدم پر رو اطلاق می‌شود.
1756,تعدی تجاوز کردن از حد خود است.
1757,انزل معادل نازل‌تر است.
1758,نبض جنبش رگ است.
1759,شدت معادل محکمی و تنگی است.
1760,مناهی معادل منکرات است.
1761,اعیان معادل بزرگان است.
1762,تیمم وضو یا غسل با خاک است.
1763,اهرمن معادل شیطان است.
1764,زد و خورد، دعوا است.
1765,سماری معادل کشتی است.
1766,نامیه قوه رشد و حافظه است.
1767,دلو سطل چاه است.
1768,دشت معادل بیابان و صحرا است.
1769,گاما از اشعه‌ها است.
1770,وداد معادل دوستی و محبت است.
1771,روح الله لقب حضرت عیسی (ع) است.
1772,چتر نجات معادل فارسی پاراشوت است.
1773,ماندگار معادل پایدار و باقی است.
1774,شعیب پدر زن حضرت موسی (ع) است.
1775,عیال اهل خانه و زن و فرزند است.
1776,پیوست، ضمیمه است.
1777,سیا سازمان جاسوسی آمریکا است.
1778,نشان معادل اثر و علامت است.
1779,معاهد هم عهد، هم پیمان است.
1780,دل یار قلوه است.
1781,یازده دومین عدد دورقمی است.
1782,منور معادل روشن و درخشان است.
1783,شمال از جهات اصلی است.
1784,دولت‌یار معادل خوشبخت است.
1785,ایستاده راکد و غیر جاری است.
1786,معصومیه مدرسه قدیمی بیرجند است.
1787,اند عدد مجهول است.
1788,نقاب معادل ماسک است.
1789,لد دشمن سرسخت است.
1790,شانس معادل بخت و اقبال است.
1791,فارگو فیلمی از برادران‌کوئن است.
1792,ادار از ماه‌های سریانی است.
1793,سرتیپ از درجات نظامى است.
1794,ست واحد بازی تنیس است.
1795,مزاح خوش طبعی است.
1796,راوند منطقه‌ای در حومه‌کاشان است.
1797,منتج نتیجه دهنده است.
1798,یائس معادل عقیم و نازا است.
1799,یاس معادل نومیدی و دلسردی است.
1800,تلر کاشف واکسن تیفوس است.
1801,هزار آوا معادل بلبل است.
1802,ماندلا برنده نوبل صلح ۱۹۹۳ است.
1803,عنقا معادل سیمرغ است.
1804,دست‌انداز ناهمواری‌ خیابان است.
1805,صدا معادل صوت است.
1806,فار فانوس دریایی است.
1807,بشارت منجی فیلمی از نادر طالب زاده است.
1808,یزد استان ‌کویری است.
1809,آتا پدر آذری است.
1810,یک لنگه پا مثل فرد دست تنها است.
1811,سیلو انبار گندم است.
1812,هادسون خلیجی در کانادا است.
1813,حرمسرا مکانی در کاخ‌شاهان است.
1814,نخستین ایستگاه پژوهشی ناسا در فضا بود که بین سال‌های ۱۹۷۳ تا ۱۹۷۹ میلادی در مدار زمین قرار داشت، اسکای لب است.
1815,تی زمین‌ شوی دسته‌ دار است.
1816,یت علامت مصدر جعلی است.
1817,مریخ نام دیگر سیاره بهرام است.
1818,کیانا هر یک از طبایع چهارگانه است.
1819,پخسان گداخته و فراهم آمده از غم و درد است.
1820,هارپ ساز چنگ است.
1821,تهویه هوا را عوض‌ کردن است.
1822,نگین معادل خاتم است.
1823,فشرده شده و له شده، مچاله است.
1824,بومهن از توابع استان‌ تهران است.
1825,نرا دیوار کوتاه است.
1826,آگاه باش، هان است.
1827,جد سعی، کوشش است.
1828,نازا معادل عقیم و یائس است.
1829,آریاتپه تپه باستانی نمین اردبیل است.
1830,نوبنیاد تازه تاسیس است.
1831,ساتر معادل پوشاننده است.
1832,خاتم معادل مهر و نگین است.
1833,ورودی مقابل خروجی است.
1834,بلیتی که برای یک مسیر رفت یا برگشت باشد، یکسره است.
1835,ممات زمان مرگ است.
1836,ایم زن شوهر مرده است.
1837,یاپونچه نوعی جامه دارای باشلق ضخیم است.
1838,روان معادل روح و جان است.
1839,یگانه بی همتا است.
1840,آب اولین کلمه آموزشی است.
1841,سهیل ستاره ‌کم‌پیدا! است.
1842,اجزا معادل بخش‌ها است.
1843,بی خوابی فیلمی با بازی آل پاچینو است.
1844,نهبندان شهری در استان خراسان جنوبی است.
1845,هواداری معادل حمایت و طرفداری است.
1846,ساز و نوا معادل استطاعت است.
1847,امنا معادل امانتداران است.
1848,موناکو شهری در فرانسه است.
1849,فاس از شهرهای مراکش است.
1850,یار معادل دوست و همدم است.
1851,رزم‌ناو کشتی جنگی است.
1852,کاهو در سالاد می‌ریزند.
1853,ناشتایی معادل صبحانه است.
1854,ستاینده مدح کننده است.
1855,هسته مرکز اتم است.
1856,فرکانس معادل بسامد است.
1857,نماز آیات فریضه بروز حوادث طبیعی است.
1858,ازت معادل نیتروژن است.
1859,وسمه از وسایل آرایشی بانوان است.
1860,هنوز شاه نشده!، شا است.
1861,دوران گردش دایره‌مانند است.
1862,نوبتی نقاره چی است.
1863,مایا قوم کهن مکزیک است.
1864,روان‌کاوی تحلیل روحی است.
1865,یادآور معادل متذکر است.
1866,کلیه از اعضای داخلی‌بدن است.
1867,ورد دعای زیر لب است.
1868,تلف هلاک شدن است.
1869,ایاب معادل بازگشتن است.
1870,به پیش‌نماز اقتدا کند، ماموم است.
1871,تجلیل معادل بزرگداشت است.
1872,اسام ایالتی در هندوستان است.
1873,پنیر از لبنیات است.
1874,یوز نوعی پلنگ است.
1875,دج معادل چسبناک است.
1876,ساگو نوعی نخل است.
1877,یاغی معادل سرکش و نافرمان است.
1878,دندان عضو جونده در دهان است.
1879,دهدار معادل کدخدا است.
1880,مخ معادل مغز است.
1881,هییت علم ستاره‌شناسی است.
1882,دمی نوعی پخت برنج است.
1883,ترمینال پایانه مسافربری است.
1884,بسیار نکوهش کننده، لوام است.
1885,اپیدیدیمیت از بیماری‌ها است.
1886,آریا نژادی در آسیا است.
1887,منوجان شهری در استان‌کرمان است.
1888,خبر معادل آگاهی و اطلاع است.
1889,ندامت معادل پشیمانی است.
1890,غدد جمع غده است.
1891,غله پاک کن، بوجار است.
1892,سیاهه معادل فهرست است.
1893,ملس معادل ترش و شیرین است.
1894,ندیدن مخالف دیدن است.
1895,یاریگر معادل مددکار است.
1896,ایما معادل اشاره است.
1897,نفس المهموم اثری از حاج شیخ عباس قمی است.
1898,کشمش سبز از سوغات اراک است.
1899,بائوباب درخت تناور آفریقا است.
1900,زبر معادل خشن است.
1901,یرنا معادل حنا است.
1902,وج سوسن زرد است.
1903,نوند معادل تند و تیز است.
1904,واحد شمارش قند خرد شده، حبه است.
1905,رومی مقابل زنگی! است.
1906,تم معادل موضوع و زمینه است.
1907,قماش معادل پارچه است.
1908,آداپتور ترانس برقی کوچک است.
1909,ریسندگی از هنرهای دستی است.
1910,کبریا عظمت و بزرگی خداوند است.
1911,رهوار اسب تندرو است.
1912,شابرن فولاد معدنی است.
1913,میان معادل وسط و بین است.
1914,حم از حروف مقطعه است.
1915,ناس سوره ۱۱۴ قرآن کریم است.
1916,شو معادل نمایش است.
1917,انبیق ابزار سنتی تقطیر مایعات است.
1918,پن قلم انگلیسی است.
1919,سبز رنگ پوست خیار است.
1920,وه کلمه شگفتی است.
1921,بابون نوعی میمون زردرنگ است.
1922,تالوگ ژرف‌ترین نقاط رودخانه است.
1923,زبرجد نوعی سنگ قیمتی است.
1924,مشیری از شعرای معاصر خالق تشنه طوفان است.
1925,دزدمونا چهره زن نمایشنامه اتللو است.
1926,خاک و آتش فیلم مهدی صباغ‌زاده است.
1927,ته معادل پایان است.
1928,شریک معادل سهیم است.
1929,ردی معادل رفوزگی است.
1930,وجد معادل شگفتی است.
1931,مالی کشوری آفریقایی است.
1932,اق سفید آذری است.
1933,مدارس جمع مدرسه است.
1934,هرعلامت و نشانی که برای یادآوری قرار بدهند، یادداشت است.
1935,ویران معادل خراب و منهدم‌شده است.
1936,جد معادل سعی و کوشش است.
1937,نژاد معادل اصل و نسب است.
1938,امرا معادل فرماندهان است.
1939,فش کاکل اسب است.
1940,رئالیست واقع بین است.
1941,یک میزان یک نواخت است.
1942,دختر میلیون دلاری فیلمی از کلینت ایستوود است.
1943,زاهدان مرکز استان سیستان و بلوچستان است.
1944,ارمیک نام مردانه ارمنی است.
1945,یل معادل پهلوان است.
1946,درجه بندی شده، مدرج است.
1947,درام نمایشنامه غم‌انگیز است.
1948,در مثل دیوار داره!، موش است.
1949,یاد دادن معادل تعلیم و آموزش است.
1950,آلی شیمی ‌کربنی است.
1951,وارو یار پشتک در ژیمناستیک است.
1952,ژل روغن مو است.
1953,نتیجه معادل ثمره و دستاورد است.
1954,وانفسا معادل وضعیت‌سخت و دشوار است.
1955,اشک در آستین داشتن بسیار زود رنج بودن و با هر تأثر ناچیزی به گریه افتادن است.
1956,فنقلی معادل ریز و کوچک است.
1957,آبادی معادل روستا و قریه است.
1958,آتنا معادل آجل و آینده است.
1959,فرد متضاد زوج است.
1960,را از خدایان باستان است.
1961,تی خط کش مهندسی است.
1962,وارث ارث برنده است.
1963,لار شهری در فارس است.
1964,حجت معادل برهان و دلیل است.
1965,نایاب پیدا نشدنی است.
1966,هال تالار بزرگ است.
1967,کام سقف دهان است.
1968,جویدن خرد کردن غذا با دندان است.
1969,سری معادل مخفی و محرمانه است.
1970,فکر محصول عقل است.
1971,ارتش از نیروهای نظامی یک کشور است.
1972,نم رطوبت ناچیز است.
1973,ترن از وسایل ترابری است.
1974,آلات معادل اداوات و ابزارها است.
1975,گامبو چاق و فربه خودمانی است.
1976,تقاضا معادل درخواست است.
1977,فاتح معادل پیروز و مظفر است.
1978,تفنگ اسلحه گرم است.
1979,نتیجه معادل حاصل و دستاورد است.
1980,کما معادل اغما و بیهوشی است.
1981,بنده خانه زاد، قن است.
1982,تاجر معادل بازرگان است.
1983,لاو عشق بیگانه است.
1984,تب حرارت بدن است.
1985,آن از خواهران برونته است.
1986,فرا مدرن بسیار پیشرفته است.
1987,ارثی معادل موروثی است.
1988,نت الفبای ساز است.
1989,بد معادل ناپسند و زشت است.
1990,شاق معادل دشوار و سخت است.
1991,لباس معادل جامه و رخت است.
1992,لا میان چیزی است.
1993,درا زنگ کاروان است.
1994,مرتاض ریاضت کش هندی است.
1995,یارد از واحدهای طول است.
1996,یکتا بی نظیر و بی مانند است.
1997,اکد قومی سامی نژاد است.
1998,ایسوس نبرد داریوش و اسکندر است.
1999,رنده ابزار نجاری است.
2000,بخشیده شده، معاف است.
2001,گجرات از ایالت‌های هندوستان است.
2002,دری زبان فارسی رسمی معمول امروزه است.
2003,ربکا رمان دافنه دوموریه است.
2004,دلق لباس کهنه درویشی است.
2005,هالتر میل ورزشی است.
2006,هوش توانایی ذهنی است.
2007,براوو حرف تحسین فرانسوی است.
2008,مولا معادل آقا و سرور است.
2009,یلو زرد انگلیسی است.
2010,کارمند و حقوق بگیر، اداری است.
2011,هره دیوار نازک خشتی است.
2012,یهوه خدا به زبان عبری است.
2013,تلخ مزه ناخوشایند است.
2014,کلسیم عنصر استحکام بخش استخوان‌ها است.
2015,یوان پول چین است.
2016,ویدا معادل اندک و کم است.
2017,کرنال جنگ مشهور نادر شاه است.
2018,رهن نوعی اجاره ملک است.
2019,ارگبد از منصب‌ها و مقام‌های بزرگ لشکری زمان ساسانیان است.
2020,رمانتیک احساسی و خیال پردازانه است.
2021,کنجاله نوعی غذای دام است.
2022,ددر گردش کودکانه است.
2023,قوبلای خان از نوادگان چنگیزخان است.
2024,هار سگ بیمار است.
2025,شراره معادل اخگر و جرقه است.
2026,نا بوی ماندگی است.
2027,تبه مخفف تباه است.
2028,یوک بالشتک نانوایی است.
2029,کابوی گاوچران آمریکایی است.
2030,هلو میوه باب گلو است.
2031,سعدالدوله از نخست وزیران استبداد صغیر است.
2032,غذا خورده، سیر است.
2033,تخ تفاله کنجد است.
2034,ورزیده معادل نیرومند و متبحر است.
2035,سفیدرود دومین رود بلند ایران است.
2036,هامان وزیر خشایارشا است.
2037,خزندگان رده‌ای از جانوران است.
2038,جلیل معادل بلندمرتبه است.
2039,بگ بزرگ قبیله است.
2040,آنجا معادل در آن مکان است.
2041,مگر معادل الا است.
2042,مقارن هم زمان است.
2043,پرواز پر گشودن و پریدن پرندگان است.
2044,یواش معادل آهسته و آرام است.
2045,مه ابر نزدیک به زمین است.
2046,القاح باردار کردن است.
2047,زییر کشور سابق آفریقایی است.
2048,انفاس معادل زنده‌ها و جانداران است.
2049,توتیا سرمه چشم است.
2050,کیش جزیره توریستی کشورمان است.
2051,دنگ ابزار شالیکوبی است.
2052,هدیه معادل تحفه و ارمغان است.
2053,لی قدم یکپا است.
2054,نوکر معادل خدمتکار است.
2055,مولداوی کشوری اروپایی به پایتختی کیشی‌نف است.
2056,خجسته پی مبارک قدم و خوشقدم است.
2057,استکهلم پایتخت سوئد است.
2058,زلال معادل صاف و گوارا است.
2059,ویدئو وسیله پخش فیلم است.
2060,نی از جدایی‌ها شکایت می‌کند.
2061,اموال معادل دارایی‌ها است.
2062,قاشق‌زنی از مراسم کهن چهار شنبه سوری است.
2063,هند خطایی در فوتبال است.
2064,نماز ستون دین اسلام است.
2065,ایفاد معادل فرستادن است.
2066,آب جگر کنایه از: خون، خونابه است.
2067,محیا فیلمی از اکبر خواجویی است.
2068,نیکو معادل خوب و پسندیده است.
2069,نگارنده معادل نویسنده است.
2070,رستگاری عاقبت به خیر شدن است.
2071,ابومحمد کنیه مبارک امام حسن عسکری (ع) است.
2072,بارم ریز نمرات است.
2073,نی قلیان شخص لاغر اندام است.
2074,راس معادل کله است.
2075,راستا معادل امتداد است.
2076,ضخامت معادل کلفتی است.
2077,انار میوه هزاردانه است.
2078,مهم با اهمیت است.
2079,مناجات راز و نیاز با خدا است.
2080,مورن معادل یخرفت است.
2081,یکجا معادل همگی و کلا است.
2082,معالج درمان کننده است.
2083,هراتی شاعر قرن ۹هجری است.
2084,نفخ پری شکم از باد است.
2085,بخار حالتی از گاز است.
2086,نام تجاری ماده‌ای سبک و متخلخل و معمولا سفید که در بسته بندی و عایق کاری کاربرد دارد، یونولیت است.
2087,اا دو یار هم‌قد! است.
2088,امام حسن عسکری (ع) در خلافت حکومت عباسیان زندگی می‌کرد.
2089,ابن الرضا یکی از القاب مبارک امام حسن عسکری (ع) است.
2090,مدینه شهر زادگاه امام حسن عسکری (ع) است.
2091,بیاع معادل فروشنده است.
2092,بایرن ایالتی در آلمان است.
2093,خشمناک معادل عصبانی است.
2094,رگ خواب آلبومی از محسن‌یگانه است.
2095,ورق معادل برگ است.
2096,آرا معادل نظریات و عقاید است.
2097,ها علامت جمع فارسی است.
2098,جماران حسینیه‌ای در شمیران است.
2099,مملو معادل پر و سرشار است.
2100,امام جماعت پیش‌نماز مسجد است.
2101,رواس معادل کله‌پز است.
2102,یارستن معادل توانستن است.
2103,این اشاره به نزدیک است.
2104,مگاوات واحد بزرگ در برق است.
2105,استریل عاری از میکروب است.
2106,فریبا گول زننده است.
2107,دون پایین، فرود است.
2108,امام حسن عسکری (ع) در شهر سامرا به شهادت رسیدند.
2109,نرجس خاتون نام همسر امام حسن عسکری (ع) است.
2110,با پنج سخن سرا اثری از فریدون مشیری است.
2111,آیین معادل شریعت است.
2112,تانی درنگ کردن است.
2113,نا معادل تاب و توان است.
2114,شبان معادل چوپان است.
2115,لگد ضربه با پا است.
2116,زیرکی معادل کیاست است.
2117,دخمسه معادل فریب است.
2118,نیر نور دهنده است.
2119,تیز معادل برنده است.
2120,رده معادل دسته و صف است.
2121,تام معادل کامل است.
2122,دخل کشوی پیشخوان است.
2123,از دل پر درد برآید، آه است.
2124,اوج بالاترین نقطه است.
2125,جوع معادل گرسنگی است.
2126,هندسه علم اشکال و ابعاد است.
2127,میرشب معادل شبگرد و نگهبان است.
2128,نگر امر به نگریستن است.
2129,منار معادل گلدسته است.
2130,قد طول بدن است.
2131,مرور نگاه اجمالی است.
2132,جلاد معادل میرغضب است.
2133,آینه اسکندری اثری از امیر خسرو دهلوی است.
2134,برنز آلیاژ مس و قلع است.
2135,راهنما هدایت کننده است.
2136,آینده نگری پیش بینی آینده است.
2137,پا جرئی از بدن است.
2138,ریه جگر سفید است.
2139,درون معادل داخل است.
2140,نیشکر گیاه قند است.
2141,ره مخفف راه است.
2142,جیبی نوعی قطع کتاب است.
2143,توهم معادل خیال و گمان است.
2144,سنا مجلس شیوخ است.
2145,تاج کلاه ویژه شاهان است.
2146,نجس معادل پلید و ناپاک است.
2147,ندیم معادل همنشین است.
2148,مالک معادل دارنده است.
2149,نت معادل یادداشت است.
2150,خز از پستانداران است.
2151,جیران معادل آهو است.
2152,سالم بی عیب و نقص است.
2153,دور مقابل نزدیک است.
2154,دد جانور درنده است.
2155,رنگ سرخ عشق اثری از ر. اعتمادی است.
2156,ایده آل کمال مطلوب است.
2157,بدلی معادل تقلبی است.
2158,موسی خان نایب‌السلطنه احمدشاه است.
2159,لاابالی بی بند و بار است.
2160,سماک ماهی فروش است.
2161,نرم معادل لطیف است.
2162,یکی به تنهایی است.
2163,دیانا الهه شکار یونان‌قدیم است.
2164,تالوگ ژرف‌ترین نقاط رودخانه است.
2165,تبدیل عوض کردن است.
2166,نیجر کشوری در غرب قاره آفریقا است.
2167,سون نوعی ویندوز است.
2168,وغست معادل هویدا و آشکار است.
2169,رایشتاد پسر ناپلئون کبیر است.
2170,ستاره‌ها فیلمی از فریدون جیرانی است.
2171,ملانوم بیماری ‌پوستی است.
2172,تراورس چوب‌ زیر ریل قطار است.
2173,واگرا نوعی عدسی است.
2174,تبلیغات معرفی کالا از رسانه‌ها است.
2175,مرداد ماه پنجم سال‌شمسی است.
2176,آسیا از قاره‌های جهان است.
2177,نیلین معادل کبود است.
2178,تشر معادل نهیب است.
2179,خامی نپخته بودن است.
2180,اولیس پهلوان جنگ تروا است.
2181,الاکلنگ از وسایل بازی کودکان در پارکها است.
2182,جولاه معادل بافنده و نساج است.
2183,نیکیتا سریالی از کریگ‌سیلور است.
2184,گرنادا کشوری در آمریکای مرکزی است.
2185,پیر بنوا نویسنده قرن نوزدهم میلادی اهل فرانسه است.
2186,اکو پژواک صدا است.
2187,سیخ ابزار کبابی است.
2188,سمیع از صفات خداوند است.
2189,ور معادل طرف و جهت است.
2190,زاری گریه با سوز و گداز است.
2191,یان هذیان بیمار است.
2192,بروسنو دریاچه‌ای در روسیه است.
2193,بهتر معادل نیکوتر است.
2194,نو پدید آمده، نوآیین است.
2195,گان لباس اتاق عمل است.
2196,ینگه معادل دنباله است.
2197,مزه دهان جمع کن، گس است.
2198,خم ظرف سرکه است.
2199,باری نوعی ماشین حمل است.
2200,تند معادل سریع و پرشتاب است.
2201,هدف اصلی فیلمی از صلح میرزایی است.
2202,پاسور از بازیکنان یک تیم والیبال است.
2203,تحریک شده، برانگیخته است.
2204,یک مرتبه معادل یک‌دفعه و یک‌بار است.
2205,توانمند دارای نیرو و قدرت زیاد است.
2206,برتر معادل بالاتر و بلندتر است.
2207,دف ساز ضربی است.
2208,کنیا کشوری آفریقایی است.
2209,اخص معادل ویژه‌تر است.
2210,ویارانه معادل آرزوانه است.
2211,انتگرال مبحثی در ریاضیات است.
2212,آخرین والس فیلمی از اسکورسیزی است.
2213,کارکنان معادل فارسی پرسنل است.
2214,صلب به دار آویختن است.
2215,ام ابیها کنیه مبارک حضرت فاطمه (س) است.
2216,دوحه پایتخت قطر است.
2217,یکی شده، متحد است.
2218,لاری خروس جنگی است.
2219,صل روغن مار است.
2220,مری عضو گوارشی است.
2221,لام بیست ‌و هفتمین حرف الفبای فارسی است.
2222,طفره خیز برداشتن است.
2223,تهمت گمان بد بردن است.
2224,کالابرگ معادل فارسی کوپن است.
2225,سردم جایگاه مرشد در گود زورخانه است.
2226,شهربانو همسر ایرانی امام حسین (ع) است.
2227,کمال الملک نقاش معروف ایرانی است.
2228,اهم واحد مقاومت الکتریکی است.
2229,کارافتاده معادل باتجربه و آزموده است.
2230,رماد معادل خاکستر است.
2231,چهل از اعداد مقدس است.
2232,بومی معادل محلی است.
2233,طهماسب از شاهان صفویه است.
2234,نصیحت معادل اندرز و پند است.
2235,لف درهم پیچیدن است.
2236,تبرا بیزاری جستن است.
2237,الهه حصاری از بازیگران خانم تلویزیون و سینمای کشورمان است.
2238,ردن بیخ آستین است.
2239,دلمه برگ مو از غذاهای سنتی ترکی است.
2240,قدرت جهل از آثار تولستوی است.
2241,ارت سیم متصل به زمین است.
2242,درج ثبت کردن است.
2243,تابع معادل پیرو است.
2244,یخ آب منجمد است.
2245,مورت گیاهی ضد قارچ و تقویت کننده مو است.
2246,تجهیز شده، مجهز است.
2247,یاک گاو تبتی است.
2248,اکرم معادل گرامی‌تر است.
2249,کبرا مار خطرناک است.
2250,لای گل ته‌حوض است.
2251,کیلومتر از واحدهای مسافت است.
2252,قاتی معادل مخلوط و درهم است.
2253,لاستیک رویه چرخ اتومبیل است.
2254,دراخما واحد پول یونان بود.
2255,جمال معادل زیبایی است.
2256,عمه خواهر پدر است.
2257,وزیر را در هیئت دولت ببینید.
2258,بلم قایق کوچک است.
2259,امارات از کشورهای عربی حوزه خلیج فارس است.
2260,لجستیک بخشی از علوم‌نظامی است.
2261,مروارید اثری از جان اشتاین بک است.
2262,توس شهر فردوسی است.
2263,مبدا نقطه شروع است.
2264,خدیو معادل امیر و پادشاه است.
2265,دره پرتگاه کوهستان است.
2266,امیرال دریاسالار به فرانسوی است.
2267,ارمز پسر اسفندیار در شاهنامه است.
2268,اسکندر پادشاه مقدونی است.
2269,فاکس دستگاه نمابر است.
2270,عم شامل شدن است.
2271,بدوی معادل بیابانی است.
2272,اگه معادل مطلع است.
2273,مضر ضرر رساننده است.
2274,روستایی آبادی نشین است.
2275,متمرد معادل یاغی است.
2276,رویا افشار برنده سیمرغ بلورین بهترین بازیگر نقش اول زن جشنواره ۳۹ فجر است.
2277,رو به راه معادل آماده و مهیا است.
2278,بسیارگو معادل پرحرف است.
2279,وسد معادل مروارید است.
2280,همگی معادل تمامی است.
2281,کتک خوردنی در دعوا! است.
2282,یونان از کشورهای باستانی است.
2283,سب معادل دشنام است.
2284,کنجد کوبیده، ارده است.
2285,دما میزان سردی یا گرمی است.
2286,مرد عوضی فیلمی با بازی پرویز پرستویی است.
2287,دست و دلباز کنایه از آدم پرسخاوت است.
2288,امیری معادل حکمرانی است.
2289,قابلیت معادل شایستگی و سزاواری است.
2290,بدان امر به دانستن است.
2291,رند معادل حیله‌گر و زیرک است.
2292,خالی‌بند معادل چاخان است.
2293,نگین معادل خاتم و مهر است.
2294,شهیر معادل نامور و معروف است.
2295,یی دهن کجی است.
2296,بن معادل ریشه و بیخ است.
2297,آتی معادل آجل و آینده است.
2298,اسب حیوان مسابقه است.
2299,دیم کشت بارانی است.
2300,زر فلز ارزنده است.
2301,جدی غیر شوخی است.
2302,آدمک معادل مترسک است.
2303,کلانتری اداره پلیس است.
2304,ارشد بزرگتر کلاس است.
2305,مرض معادل بیماری است.
2306,یدک لاستیک اضافی است.
2307,داد فریاد عدالت است.
2308,شن معادل ریگ و ماسه است.
2309,ما از ضمایر منفصل است.
2310,مسرت معادل نشاط و سرور است.
2311,کمرو معادل خجالتی و محجوب است.
2312,استخوان بافت سخت تشکیل دهنده اسکلت بدن است.
2313,نسل معادل ذریه و تبار است.
2314,هیدر جاندار کوچک آبزی است.
2315,برگشتی معادل مرجوعی است.
2316,قرن از آحاد زمان است.
2317,آزمایشگاه معادل لابراتوار است.
2318,انگشتر حلقه زینتی انگشت است.
2319,سی ویتامین تقویت کننده ایمنی بدن است.
2320,بدیهی معادل روشن و آشکار است.
2321,کشک چاشنی آش رشته است.
2322,متد معادل روش و طریقه است.
2323,نی گیاه مرداب است.
2324,جلد پوشش کتاب است.
2325,تسخیر شده، مسخر است.
2326,یخ کنایه از بی مزه و لوس است.
2327,رادا بانوی بخشنده است.
2328,دارو تجویز پزشک است.
2329,تاک درخت انگور است.
2330,تاب پیچ و شکن زلف است.
2331,لهیب شعله و زبانه آتش است.
2332,رفت و آمد، تردد است.
2333,نر مقابل ماده است.
2334,بینی عضو شامه است.
2335,ارض معادل زمین است.
2336,ددی پدر بیگانه است.
2337,ددمنش وحشی خو است.
2338,بیم معادل خوف و ترس است.
2339,ممارست تمرین کردن است.
2340,ندانم کاری عمل ناشیانه و ابلهانه است.
2341,ولی معادل سرپرست و کفیل است.
2342,کاخ سه در از کاخ‌های مرودشت است.
2343,اجر معادل مزد و پاداش است.
2344,کیو از حروف انگلیسی است.
2345,تمسک چنگ زدن و محکم گرفتن است.
2346,بز پروفسور حیوانات است.
2347,پراگ پایتخت ‌جمهوری چک است.
2348,لوکس معادل تجملی است.
2349,وتر خطی در دایره است.
2350,جنبش معادل تکان است.
2351,رم شهر بی‌دفاع است.
2352,متاع معادل کالا است.
2353,ارم بهشت شداد است.
2354,کاتب معادل نویسنده است.
2355,رنجیده معادل دلتنگ و آزرده است.
2356,اجمالی معادل مختصر است.
2357,نسبی غیر مطلق است.
2358,خرس از حیوانات جنگلی است.
2359,کپک نوعی قارچ ذره‌بینی است.
2360,دشم درفش کفاشان است.
2361,هک دزدی اینترنتی است.
2362,رسوم معادل آداب و سنن است.
2363,تال ظرف مسی است.
2364,دیبا نوعی پارچه‌ گرانبها است.
2365,تکراری فاقد تازگى و جذابیت است.
2366,روزگار معادل زمانه است.
2367,معما معادل چیستان است.
2368,ام کلثوم دختر امام علی (ع) است.
2369,تراز معادل بالانس است.
2370,نرجس نام مادر امام مهدی (عج) است.
2371,کنعان شهر حضرت یعقوب (ع) است.
2372,ایل طایفه چادرنشین است.
2373,النگو از زینت آلات‌زنانه است.
2374,وم روستای کوچکی از توابع شهر دبا الفجیره در نوار ساحلی کرانه دریای عمان است.
2375,مسنن معادل دندانساز است.
2376,ندا صدا زدن است.
2377,بیا امر به آمدن است.
2378,اختر کاویانی درفش ملی ایرانیان در عهد ساسانی است.
2379,مارونی از اقوام ساکن لبنان است.
2380,کودک معادل طفل و بچه است.
2381,کما معادل بی‌هوشی است.
2382,علاج معادل چاره و درمان است.
2383,ثم فراهم آوردن است.
2384,رنان فیلسوف، تاریخ نگار و نویسنده فرانسوی است.
2385,سبو معادل کوزه است.
2386,وراج معادل زیاده‌گو و پرحرف است.
2387,مدرسه دومنار از آثار تاریخی یزد است.
2388,کلمانسو سیاستمدار مشهور فرانسوی مشهور به ببر فرانسه است.
2389,انکر معادل زشت‌تر و ناپسندتر است.
2390,یکهو یک دفعه و ناگهانی است.
2391,ارزش معادل بها و قیمت است.
2392,مشی معادل روش و شیوه است.
2393,کاشی سرامیک زینتی است.
2394,سپاس معادل شکر و ستایش است.
2395,قوزک قسمتی از پا است.
2396,رومازاد اثری از آرتور شنیتسلر است.
2397,هنرمندی ارائه ذوق و خلاقیت است.
2398,تکاب شهری در استان آذربایجان غربی است.
2399,ماسوره قطعه‌ای در چرخ‌ خیاطی است.
